angle	lam_L	pink_fxi	pink_feta	refl_fxi	refl_feta	blend_fxi	blend_feta	pink_surge_norm	refl_surge_norm	blend_surge_norm
-90.0	0.0835	-169944.00	1588690.00	2.00	-1579310.00	2.00	-1579310.00	1.6489	-0.0000	-0.0000
-90.0	0.0927	-171398.00	1585520.00	2.00	-1577360.00	2.00	-1577360.00	1.6630	-0.0000	-0.0000
-90.0	0.1030	-167657.00	1611330.00	2.00	-1574930.00	2.00	-1574930.00	1.6267	-0.0000	-0.0000
-90.0	0.1145	-163868.00	1615270.00	1.99	-1571800.00	1.99	-1571800.00	1.5900	-0.0000	-0.0000
-90.0	0.1272	-157493.00	1594890.00	1.99	-1567650.00	1.99	-1567650.00	1.5281	-0.0000	-0.0000
-90.0	0.1414	-150057.00	1596660.00	1.98	-1562050.00	1.98	-1562050.00	1.4559	-0.0000	-0.0000
-90.0	0.1571	-141646.00	1605160.00	1.97	-1554490.00	1.97	-1554490.00	1.3743	-0.0000	-0.0000
-90.0	0.1746	-130572.00	1596900.00	1.96	-1544370.00	1.96	-1544370.00	1.2669	-0.0000	-0.0000
-90.0	0.1940	-121850.00	1591030.00	1.94	-1531060.00	1.94	-1531060.00	1.1823	-0.0000	-0.0000
-90.0	0.2155	-113212.00	1606720.00	1.92	-1513960.00	1.92	-1513960.00	1.0985	-0.0000	-0.0000
-90.0	0.2395	-105702.00	1612070.00	1.89	-1492530.00	1.89	-1492530.00	1.0256	-0.0000	-0.0000
-90.0	0.2661	-102393.00	1621180.00	1.86	-1466350.00	1.86	-1466350.00	0.9935	-0.0000	-0.0000
-90.0	0.2957	-105215.00	1640920.00	1.82	-1435170.00	1.82	-1435170.00	1.0209	-0.0000	-0.0000
-90.0	0.3285	-117203.00	1679740.00	1.77	-1398950.00	1.77	-1398950.00	1.1372	-0.0000	-0.0000
-90.0	0.3651	-140747.00	1715610.00	1.72	-1357820.00	1.72	-1357820.00	1.3656	-0.0000	-0.0000
-90.0	0.4056	-185063.00	1780800.00	1.66	-1312110.00	1.66	-1312110.00	1.7956	-0.0000	-0.0000
-90.0	0.4507	-252156.00	1847240.00	1.60	-1262300.00	1.60	-1262300.00	2.4466	-0.0000	-0.0000
-90.0	0.5008	-331701.00	1925290.00	1.53	-1209000.00	1.53	-1209000.00	3.2184	-0.0000	-0.0000
-90.0	0.5565	-391385.00	2029050.00	1.46	-1152910.00	1.46	-1152910.00	3.7975	-0.0000	-0.0000
-90.0	0.6183	-398133.00	2127620.00	1.39	-1094750.00	1.39	-1094750.00	3.8629	-0.0000	-0.0000
-90.0	0.6871	-323374.00	1993720.00	1.31	-1035290.00	1.31	-1035290.00	3.1376	-0.0000	-0.0000
-90.0	0.7634	-181603.00	1472970.00	1.24	-975239.00	1.24	-975239.00	1.7620	-0.0000	-0.0000
-90.0	0.8483	-62768.00	865311.00	1.16	-915273.00	1.16	-915273.00	0.6090	-0.0000	-0.0000
-90.0	0.9426	2432.95	480132.00	1.09	-856005.00	1.09	-856005.00	-0.0236	-0.0000	-0.0000
-90.0	1.0473	53302.60	266492.00	1.01	-797960.00	1.01	-797960.00	-0.5172	-0.0000	-0.0000
-90.0	1.1638	206466.00	157704.00	0.94	-741588.00	0.94	-741588.00	-2.0033	-0.0000	-0.0000
-90.0	1.2931	792092.00	-120066.00	0.87	-687250.00	0.87	-687250.00	-7.6854	-0.0000	-0.0000
-90.0	1.4369	217455.00	-121710.00	0.81	-635229.00	0.81	-635229.00	-2.1099	-0.0000	-0.0000
-90.0	1.5966	6835.17	-13432.00	0.74	-585729.00	0.74	-585729.00	-0.0663	-0.0000	-0.0000
-90.0	1.7740	-4227.77	998.09	0.68	-538889.00	0.68	-538889.00	0.0410	-0.0000	-0.0000
-90.0	1.9712	-3374.49	2768.57	0.63	-494784.00	0.63	-494784.00	0.0327	-0.0000	-0.0000
-90.0	2.1903	-2147.71	2271.12	0.57	-453444.00	0.57	-453444.00	0.0208	-0.0000	-0.0000
