freq	enc	angle	speed	surge_r	surge_i	sway_r	sway_i	heave_r	heave_i	roll_r	roll_i	pitch_r	pitch_i	yaw_r	yaw_i	surge_d	sway_d	yaw_d
 1.800	 1.800	 -90.0	-1.000	 0.007	 0.002	-0.070	-0.048	 0.032	 0.014	 0.002	 0.001	 0.001	 0.003	 0.002	 0.005	3.95385e+04	4.72654e+05	-1.94310e+06
 1.800	 1.857	 -80.0	-1.000	-0.010	 0.023	-0.023	-0.036	-0.010	-0.004	 0.007	 0.007	-0.003	 0.002	-0.006	 0.002	6.93730e+04	4.18696e+05	-3.36543e+06
 1.800	 1.913	 -70.0	-1.000	 0.007	-0.019	-0.000	 0.017	 0.002	-0.006	-0.001	 0.001	 0.002	-0.002	-0.000	 0.002	7.17792e+04	3.74480e+05	-3.10669e+06
 1.800	 1.965	 -60.0	-1.000	-0.000	 0.008	 0.002	-0.003	 0.002	 0.006	-0.001	-0.003	 0.000	 0.002	 0.001	-0.001	7.70758e+04	3.01715e+05	-3.12062e+06
 1.800	 2.012	 -50.0	-1.000	-0.004	-0.004	-0.002	 0.001	-0.004	 0.000	 0.001	 0.001	-0.002	-0.001	-0.001	 0.000	7.87626e+04	2.24648e+05	-2.94999e+06
 1.800	 2.053	 -40.0	-1.000	 0.004	-0.001	 0.003	 0.002	 0.003	-0.005	-0.001	 0.001	 0.001	-0.001	 0.001	-0.000	8.00749e+04	1.55883e+05	-2.77250e+06
 1.800	 2.086	 -30.0	-1.000	 0.001	 0.004	-0.001	-0.002	 0.003	-0.000	-0.000	-0.000	 0.001	 0.001	 0.000	-0.000	8.34006e+04	1.02297e+05	-2.40484e+06
 1.800	 2.110	 -20.0	-1.000	-0.002	 0.001	-0.002	-0.000	-0.001	 0.004	 0.000	-0.001	 0.000	 0.001	-0.000	 0.000	8.89555e+04	6.03980e+04	-1.84454e+06
 1.800	 2.125	 -10.0	-1.000	-0.002	-0.002	-0.000	 0.000	-0.002	 0.004	 0.000	-0.000	-0.001	 0.001	-0.000	 0.000	9.25864e+04	2.75166e+04	-9.94286e+05
 1.800	 2.130	   0.0	-1.000	-0.002	-0.003	-0.000	 0.000	-0.002	 0.004	 0.000	-0.000	-0.001	 0.001	 0.000	-0.000	9.42422e+04	-1.31372e+00	-8.38667e+01
 1.800	 2.125	  10.0	-1.000	-0.002	-0.002	 0.000	-0.000	-0.002	 0.004	-0.000	 0.000	-0.001	 0.001	 0.000	-0.000	9.25861e+04	-2.75205e+04	9.94123e+05
 1.800	 2.110	  20.0	-1.000	-0.002	 0.001	 0.002	 0.000	-0.001	 0.004	-0.000	 0.001	 0.000	 0.001	 0.000	-0.000	8.89551e+04	-6.04018e+04	1.84435e+06
 1.800	 2.086	  30.0	-1.000	 0.001	 0.004	 0.001	 0.002	 0.003	-0.000	 0.000	 0.000	 0.001	 0.001	-0.000	 0.000	8.33985e+04	-1.02301e+05	2.40468e+06
 1.800	 2.053	  40.0	-1.000	 0.004	-0.001	-0.003	-0.002	 0.003	-0.005	 0.001	-0.001	 0.001	-0.001	-0.001	 0.000	8.00882e+04	-1.55888e+05	2.77247e+06
 1.800	 2.012	  50.0	-1.000	-0.004	-0.003	 0.002	-0.001	-0.004	 0.000	-0.001	-0.001	-0.002	-0.001	 0.001	-0.000	7.85747e+04	-2.24739e+05	2.95981e+06
 1.800	 1.965	  60.0	-1.000	-0.000	 0.008	-0.002	 0.003	 0.001	 0.006	 0.001	 0.003	 0.000	 0.002	-0.001	 0.001	7.67561e+04	-3.01483e+05	3.11792e+06
 1.800	 1.913	  70.0	-1.000	 0.007	-0.018	-0.000	-0.016	 0.002	-0.005	 0.001	-0.001	 0.002	-0.002	-0.001	-0.001	7.21985e+04	-3.74547e+05	3.02416e+06
 1.800	 1.857	  80.0	-1.000	-0.010	 0.023	 0.024	 0.034	-0.010	-0.004	-0.007	-0.006	-0.003	 0.002	 0.005	-0.001	6.79680e+04	-4.17605e+05	3.33858e+06
 1.800	 1.800	  90.0	-1.000	 0.007	 0.002	 0.063	 0.047	 0.032	 0.015	-0.002	-0.001	 0.001	 0.002	-0.002	-0.005	3.98715e+04	-4.72093e+05	1.91884e+06
 1.800	 1.743	 100.0	-1.000	-0.008	-0.030	 0.045	 0.039	-0.002	 0.007	-0.007	-0.006	 0.001	-0.007	-0.002	 0.010	2.45853e+04	-4.55431e+05	1.41011e+06
 1.800	 1.687	 110.0	-1.000	 0.008	 0.024	-0.045	-0.014	-0.018	 0.003	 0.000	 0.004	 0.001	 0.004	-0.005	-0.001	3.37478e+04	-4.07123e+05	1.89760e+06
 1.800	 1.635	 120.0	-1.000	 0.001	-0.009	 0.021	-0.022	 0.007	-0.015	-0.000	-0.001	 0.001	 0.000	 0.003	-0.006	4.06299e+04	-3.36817e+05	1.07694e+06
 1.800	 1.588	 130.0	-1.000	-0.008	 0.005	 0.012	 0.018	 0.005	-0.002	-0.002	-0.003	-0.004	 0.001	 0.002	 0.005	3.41931e+04	-2.56340e+05	8.27407e+05
 1.800	 1.547	 140.0	-1.000	 0.006	-0.000	-0.016	 0.007	 0.010	 0.011	 0.004	 0.002	 0.001	-0.000	-0.002	 0.000	3.45479e+04	-1.78257e+05	7.81454e+05
 1.800	 1.514	 150.0	-1.000	 0.001	-0.010	-0.004	-0.005	-0.003	 0.003	 0.002	 0.000	 0.001	-0.004	-0.001	-0.002	3.27249e+04	-1.08486e+05	7.84857e+05
